6284026	8	3	1979	-1	M
3046279	20	8	2004	12	F
4423850	5	10	2005	12	F
4085074	24	9	2005	14	M
8711841	18	8	2001	20	M
1926823	7	1	2002	16	M
4278724	11	7	1991	15	M
6554808	7	5	1980	15	F
8403983	26	2	1964	17	F
7774932	20	7	1965	13	F
7427747	28	12	2010	18	F
1434093	30	5	2009	18	F
3965187	5	6	1990	16	F
6591658	3	5	1975	20	M
5389244	5	9	1962	20	F
2767688	24	12	2010	15	F
8527433	10	1	1992	15	M
2429122	9	10	1981	13	F
3090848	1	12	1961	17	F
2446197	27	11	1991	15	M
8079249	16	11	1962	19	F
3175980	18	12	1991	16	F
6105178	20	4	1964	19	F
8509919	24	10	1991	12	F
7208466	6	12	1974	16	M
9481506	22	3	2005	12	F
3952234	24	8	1973	13	M
7037138	5	6	1980	15	F
8963920	3	2	1974	17	F
2038204	28	1	1995	14	M
8594717	15	4	1969	18	F
7201726	8	9	1978	16	M
9381062	12	5	2000	13	M
3464523	25	5	1988	17	M
5610246	3	8	1977	14	M
1075456	8	2	1972	13	F
7529015	30	1	2002	17	F
5814490	11	12	1985	16	M
8172949	2	11	1981	19	F
4937190	11	9	1978	17	M
1020082	17	6	2008	19	F
4580346	18	7	2009	20	F
9079827	29	10	1970	14	M
9106707	18	8	2002	16	F
9287530	22	7	2008	13	M
7271638	29	4	1988	13	F
5719971	2	4	2005	13	M
2206956	17	11	1986	19	F
8239113	20	8	2000	16	M
5601425	14	2	1995	12	F
7679058	26	10	1984	17	F
6547634	25	10	1963	20	M
6664908	19	9	2000	16	M
6297151	14	3	2003	20	F
5898809	18	12	1972	15	M
3115692	2	8	1992	19	F
7480231	14	1	1964	13	M
5806841	11	6	2003	13	F
7310435	4	11	1974	20	F
1283368	4	6	1985	14	F
6110102	10	4	1969	13	M
4759645	16	10	1961	19	F
9385833	6	6	2004	17	F
9633180	12	7	1986	15	M
5972637	14	8	1968	17	F
2540409	19	2	1981	13	M
8222824	14	8	2010	20	F
8396940	20	7	1992	15	F
3374410	23	10	1968	15	M
4642529	5	7	1991	12	F
7788904	3	2	1987	16	M
7975754	5	10	1967	16	M
5385120	4	4	1984	17	F
4093477	11	8	2006	15	M
6251807	20	5	2001	20	F
4039667	20	5	2006	17	M
5907612	4	2	2009	20	F
1442048	29	2	2002	16	F
5922189	29	6	1981	17	F
3576648	27	9	1991	17	M
6707223	18	11	1993	20	F
9163288	29	3	1998	15	F
9241475	20	10	1988	20	F
9420952	8	2	1964	19	F
1971099	25	2	1993	13	M
2214066	17	6	1971	19	F
1341384	8	8	1992	18	F
2875356	22	7	1970	17	F
2335273	30	10	1980	17	F
6850098	1	11	1987	17	F
8460223	4	1	1995	14	M
5379482	27	6	2003	12	M
9024639	18	6	1985	20	F
8867324	7	12	1974	18	F
7120476	23	5	2010	18	F
5127531	9	5	1994	13	F
6481703	25	12	1991	14	M
1591614	11	9	2002	13	M
6124829	3	9	1997	12	M
1454249	18	11	1979	13	M
8607244	16	5	1969	20	M
5892607	16	9	1984	17	F
7850336	28	7	1991	16	F
3641413	2	12	1974	12	M
4769847	22	10	1984	20	M
8807762	4	3	2004	14	F
4674682	26	7	1995	12	M
7543218	28	8	2009	20	M
3679196	24	1	2002	16	F
6611248	2	10	1974	15	M
1976360	16	3	1974	12	M
4848287	16	10	1971	19	M
9114542	3	12	1997	12	M
7505259	18	10	2010	18	F
3387941	9	11	1980	20	M
2577531	1	1	1961	16	F
2284357	15	1	1986	16	M
5337542	26	6	1999	16	F
2536807	14	6	2005	13	M
1261599	19	8	1998	18	F
9107906	5	10	1984	19	M
9438273	14	12	1972	18	F
9837417	14	9	1971	13	M
8728719	11	3	2002	18	F
5713574	23	8	2006	18	M
3414760	8	10	1998	17	F
9616500	4	8	2005	12	M
7594330	8	1	1979	18	M
7504572	9	1	2003	20	M
1962041	22	5	2005	15	M
8133624	14	1	1981	17	F
2514470	26	10	1986	17	F
7802014	17	6	1977	14	M
3843326	6	7	1980	18	F
7493841	24	5	1994	14	M
9517374	10	8	2000	13	F
4147882	5	4	1977	19	M
3667840	12	12	1986	14	F
8108738	26	1	1971	19	M
5880755	22	1	2006	16	M
2547484	27	11	1962	14	F
8660651	4	10	1969	15	F
7158957	2	1	1987	16	F
2844035	19	3	1973	15	M
9346190	29	11	1999	13	F
5090072	24	1	1987	13	F
4249050	23	8	2005	19	M
1721892	2	8	1982	20	M
7665413	25	8	1987	13	F
7156947	18	6	1979	17	M
5139814	22	3	1977	18	M
4381469	26	6	1989	14	F
5441289	1	6	2003	16	F
3063303	10	3	2008	17	M
6281035	20	4	2002	17	M
8553350	25	2	1969	12	F
9179216	9	6	1999	12	M
5566765	11	3	1979	20	F
6908337	14	7	1963	17	F
1286526	26	10	1973	16	F
3049047	14	3	1972	16	F
1509540	21	4	1968	15	F
5592354	7	6	1981	14	F
8224457	8	6	1994	13	F
9840031	16	2	1998	16	M
3190308	21	11	1985	16	M
2835675	6	11	1987	12	F
8936889	3	11	1999	18	M
5015296	1	11	1991	19	F
2427381	20	11	1990	18	M
9766201	7	11	2007	15	M
8813165	4	3	1980	18	M
3738287	28	1	1963	17	M
8338115	28	11	2001	19	F
6307316	17	4	1965	20	F
2433050	13	1	1975	18	M
7929517	17	6	1982	20	F
1714359	1	11	1997	17	M
5700735	8	9	1989	18	F
4746249	8	2	1982	13	M
3656283	23	7	1987	12	F
4521468	22	5	1978	12	F
9316350	23	7	1975	13	M
2030853	15	7	1970	19	M
7950906	29	7	2009	13	M
2065524	4	4	1978	18	F
6749021	10	5	1987	20	F
1042659	9	6	1980	15	F
8004582	13	5	1963	15	F
3367229	26	10	2008	18	F
2556994	30	2	2006	13	M
1003583	22	12	1991	17	F
5927952	8	4	1973	14	M
1132945	1	9	1999	17	F
1251824	17	3	1975	15	F
6930058	8	3	1965	20	F
7214733	27	7	1984	19	M
2070941	21	2	1972	17	M
6721125	26	11	2002	13	F
7949932	22	1	1992	14	F
4781199	1	7	2004	16	M
8145925	22	5	1960	19	F
3125338	23	1	1960	14	M
5369656	28	8	1995	13	M
2437506	5	4	1970	18	F
8683608	22	3	1992	19	F
3762542	11	2	2009	12	M
8050439	19	12	2009	12	F
1098263	17	7	1986	18	F
7435720	22	6	1966	14	F
8449608	22	12	1986	16	F
1068603	18	8	1961	12	F
7059563	19	10	1974	12	M
5088143	25	1	2001	16	M
7463175	10	2	2004	16	F
3948197	3	4	1971	18	M
3912917	16	12	1963	19	M
3959275	16	12	1997	18	M
1213529	12	10	1971	12	F
6582949	22	4	1962	16	F
4072021	10	5	2007	13	M
2837660	7	8	1980	17	M
8501438	10	1	1991	14	M
